id,created_at,zap_name,trigger_app,action_app,status,task_usage,project_id,metadata
ZP-1001,2025-12-18T23:12:03Z,New Lead -> CRM Sync,Typeform,Salesforce,success,1.23,1,"{""trigger_id"": ""tf_7890""}"
ZP-1002,2025-12-18T08:02:11Z,Slack Msg on New Deal,HubSpot,Slack,success,0.47,1,"{""channel"": ""#sales""}"
ZP-1003,2025-12-17T14:45:51Z,Daily Digest -> Email,GoogleSheet,Gmail,success,2.78,2,"{""rows_processed"": 48}"
ZP-1004,2025-12-17T04:12:09Z,Errant Webhook Retry,Webhooks,GoogleSheet,failed,0.12,2,"{""status_code"": 500}"
ZP-1005,2025-12-16T19:22:03Z,Twitter -> Airtable,Twitter,Airtable,success,0.98,3,"{""tweet_id"": ""1667...""}"
ZP-1006,2025-12-15T11:03:44Z,Payment -> Asana,Stripe,Asana,success,1.50,3,"{""charge_id"": ""ch_1Jf...""}"
ZP-1007,2025-12-14T09:31:20Z,Form -> Google Contact,Typeform,GoogleContacts,success,0.33,4,"{""contact_email"": ""jdoe@example.com""}"
ZP-1008,2025-12-13T22:55:01Z,New Signup Welcome,Auth0,Gmail,success,0.67,4,"{""user_id"": ""u_883""}"
ZP-1009,2025-12-12T07:12:09Z,CRM Tag Update,Salesforce,HubSpot,success,0.42,1,"{""sf_id"": ""SF-987""}"
ZP-1010,2025-12-11T16:50:13Z,Failed API -> Retry,API,Webhooks,failed,0.09,1,"{""error"": ""timeout""}"
ZP-1011,2025-12-10T13:08:55Z,Lead Scoring -> Update,Segment,Salesforce,success,1.10,2,"{""score_delta"": 12}"
ZP-1012,2025-12-09T05:14:33Z,Survey -> NPS -> Slack,SurveyMonkey,Slack,success,0.78,2,"{""nps"": 9}"
ZP-1013,2025-12-08T21:44:02Z,Image -> S3 Upload,UploadWidget,S3,success,0.15,3,"{""file_name"": ""photo.png""}"
ZP-1014,2025-12-07T18:02:12Z,Backup -> Drive,MySQL,GoogleDrive,success,3.33,3,"{""rows"": 120000}"
ZP-1015,2025-12-06T10:21:19Z,Abandoned Cart Reminder,Shopify,Gmail,success,0.89,4,"{""cart_id"": ""C-998""}"
ZP-1016,2025-12-05T02:43:55Z,Manual Trigger -> Log,Webhooks,GoogleSheet,success,0.05,4,"{""triggered_by"": ""manual_button""}"
ZP-1017,2025-12-04T12:11:11Z,HighPriority Deal Alert,HubSpot,PagerDuty,failed,0.67,1,"{""incident_id"": null}"
ZP-1018,2025-12-03T20:00:00Z,Calendar -> Trello,GoogleCalendar,Trello,success,0.55,1,"{""event_id"": ""ev_334""}"
ZP-1019,2025-12-02T06:37:02Z,New Repo -> Issue,GitHub,GitHubIssues,success,1.20,2,"{""repo"": ""acme/frontend""}"
ZP-1020,2025-12-01T23:59:59Z,Slow Batch -> Retry,Worker,Webhooks,failed,4.12,2,"{""batch_id"": ""b_44""}"
ZP-1021,2025-11-30T09:08:07Z,Webhook -> Parse,Webhooks,Parser,success,0.40,3,"{""schema_version"": ""1.2""}"
ZP-1022,2025-11-29T15:22:45Z,New Payment Tag,Stripe,Salesforce,success,0.95,3,"{""payment_id"": ""pay_1122""}"
ZP-1023,2025-11-28T04:10:02Z,Retry Failed -> Notify,Worker,Slack,success,0.12,4,"{""original_run"": ""ZP-1010""}"
ZP-1024,2025-11-26T19:33:20Z,Signup -> Add To CRM,Typeform,Salesforce,success,0.88,4,"{""duplicate"": false}"
ZP-1025,2025-11-25T02:02:02Z,Legacy -> Archive,LegacySystem,S3,success,1.75,1,"{""archive_path"": ""/backups/nov/""}"
ZP-1026,2025-11-23T08:11:09Z,GeoIP Enrich,IPAPI,Segment,success,0.27,2,"{""ip"": ""8.8.8.8""}"
ZP-1027,2025-11-21T21:21:21Z,Promo Code Expiry,Shopify,Gmail,success,0.66,3,"{""promo"": ""XMAS25""}"
ZP-1028,2025-11-20T03:03:03Z,Throttled -> Backoff,API,Queue,failed,0.02,4,"{""retry_after"": 45}"
